Lean,verb, to bend or move from a straight position
Laugh,verb, to show that you are happy or that you think something is funny by smiling and making a sound from your throat
Husband,noun, a married man  the man someone is married to
Glance,verb, to look at someone or something very quickly
Follow,verb, to go or come after or behind (someone or something)
Floor,noun, the part of a room on which you stand
Finger,noun, one of the five long parts of the hand that are used for holding things especially  one of the four that are not the thumb
Drive,verb," to direct the movement of (a car, truck, bus, etc.)"
Understand,verb," to know the meaning of (something, such as the words that someone is saying or a language)"
Trees,noun," a usually tall plant that has a thick, wooden stem and many large branches"
Tomorrow,noun, the day after today
Suggest,verb," to mention (something) as a possible thing to be done, used, thought about, etc."
Speak,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone  to talk to someone"
Sister,noun, a girl or woman who has one or both of the same parents as you
Pretty,adjective, attractive to look at usually in a simple or delicate way
Policeman,noun, a man who is a police officer
Pale,adjective, light in color
Mouth,noun, the opening through which food passes into the body  the part of the face that includes the lips and the opening behind them
Longer,adjective, extending a great distance from one end to the other end  not short
Hurry,verb," to move, act, or go quickly"
Hold,verb," to have or keep (something) in your hand, arms, etc."
Heat,noun, energy that causes things to become warmer
Explain,verb, to make (something) clear or easy to understand
Effort,noun, work done by the mind or body  energy used to do something
Dream,noun," a series of thoughts, visions, or feelings that happen during sleep"
Corner,noun," the point or area where two lines, edges, or sides of something meet"
Cool,adjective, somewhat cold  not warm or hot
Cold,adjective, having a very low temperature
Wind,noun, a natural movement of air outside
Whisper,verb, to speak very softly or quietly
Smile,noun," an expression on your face that makes the corners of your mouth turn up and that shows happiness, amusement, pleasure, affection, etc."
Sight,noun," the sense through which a person or animal becomes aware of light, color, etc., by using the eyes  the ability to see"
Run,verb, to move with your legs at a speed that is faster than walking
Pull,verb, to hold onto and move (someone or something) in a particular direction and especially toward yourself
Pool,noun,
Nice,adjective, giving pleasure or joy  good and enjoyable
Lunch,noun, a light meal eaten in the middle of the day
Leaving,verb, to go away from (a place)
Lay,verb, to place (someone or something) down gently in a flat position
Late,adjective, existing or happening near the end of a period of time
